ECOREGION_CODE,ECO_NAME,REALM,BIOME,G200_REGIO,New_Biome,New_Biome_2
NA1310,Sonoran desert,NA,13,Sonoran-Baja Deserts,NA_TeG,NA_TeG
NA0201,Sonoran-Sinaloan transition subtropical dry forest,NA,2,Southern Mexican dry forests,NA_TeF,NA_TeF
NT1405,South American Pacific mangroves,NT,14,South American Pacific mangroves,N.A.,N.A.
NA0615,South Avalon-Burin oceanic barrens,NA,6, ,N.A.,N.A.
NA0528,South Central Rockies forests,NA,5, ,NA_TeF,NA_TeF
NT0164,South Florida rocklands,NT,1, ,NA_TeF,NA_TeF
NA0529,Southeastern conifer forests,NA,5,Southeastern conifer and broadleaf forests,NA_TeF,NA_TeF
NA0413,Southeastern mixed forests,NA,4,Southeastern conifer and broadleaf forests,NA_TeF,NA_TeF
NT1008,Southern Andean steppe,NT,10, ,SA_TeG,SA_TeG
NT0165,Southern Andean Yungas,NT,1,Central Andean Yungas,AH,AH
NT1406,Southern Atlantic mangroves,NT,14, ,N.A.,N.A.
NT0909,Southern Cone Mesopotamian savanna,NT,9, ,SA_TeG,SA_TeG
NA0414,Southern Great Lakes forests,NA,4, ,NA_TeF,NA_TeF
NA0616,Southern Hudson Bay taiga,NA,6, ,NA_TeF,NA_TeF
NT1407,Southern Mesoamerican Pacific mangroves,NT,14, ,N.A.,N.A.
NT0230,Southern Pacific dry forests,NT,2,Southern Mexican Dry Forests,NA_TrF,NA_TrF
NT0166,Southwest Amazon moist forests,NT,1,Southwestern Amazonian Moist Forests,SA_TrF,SA_TrF
NT0167,Talamancan montane forests,NT,1,Talamancan-Isthmian Pacific Forests,AH,AH
NA1311,Tamaulipan matorral,NA,13, ,NA_TeG,NA_TeG
NA1312,Tamaulipan mezquital,NA,13, ,NA_TeG,NA_TeG
NT0168,Tapajos-Xingu moist forests,NT,1, ,SA_TrF,SA_TrF
NT1316,Tehuacan Valley matorral,NT,13,Chihuahuan-Tehuacan Deserts,NA_TrG,NA_TrG
NA0814,Texas blackland prairies,NA,8, ,NA_TeG,NA_TeG
NT0170,Tocantins/Pindare moist forests,NT,1, ,SA_TrF,SA_TrF
NA1118,Torngat Mountain tundra,NA,11, ,NA_TeG,NA_TeG
NT0310,Trans-Mexican Volcanic Belt pine-oak forests,NT,3,Mesoamerican Pine-Oak Forests,NA_TrF,NA_TrF
NT0171,Trinidad and Tobago moist forests,NT,1, ,N.A.,N.A.
NT0232,Tumbes-Piura dry forests,NT,2,Tumbesian-Andean Valleys Dry Forests,SA_TrG,SA_TrG
NT0173,Uatuma-Trombetas moist forests,NT,1, ,SA_TrF,SA_TrF
NT0174,Ucayali moist forests,NT,1,Napo Moist Forests,SA_TrF,SA_TrF
NA0415,Upper Midwest forest-savanNA_Transition,NA,4, ,NA_TeG,NA_TeG
NT0710,Uruguayan savanna,NT,7, ,SA_TeG,SA_TeG
